# data from sep with a SB cutoff of 25 mag/sqr-arcsec,,,,,,
# note that a, b need to be scaled by 6 to get the correct elliptical parameters (silly Source Extractor!),,,,,
# SN, npix, x, y, a, b, theta
12781,9709,1067.74123185,1000.92718459,23.9021453857,14.9785346985,-0.5648062229
12860,5604,1039.13322421,1161.38045382,31.8555698395,10.494977951,-0.8637700677
12874,2481,955.890588626,1107.36830713,14.6507463455,11.3931446075,-1.1998806
12928,4710,993.249861221,1119.42950222,14.7711448669,11.7487602234,0.4394786358
12930,5466,1094.25897335,1167.77380973,20.6034793854,19.0035552979,0.3972175717
13038,186,878.888899165,1491.86687453,2.9199655056,2.8496439457,1.365920186
13135,9550,1095.56680142,947.326263822,30.0427513123,11.5141992569,1.3503763676
13354,5866,978.517418953,1042.89724163,27.5349636078,14.0637130737,-0.3201501071
13411,382,1010.20178223,1067.40245997,10.2507667542,2.8629453182,-0.2920728624
13506,975,1073.23479476,1053.152977,11.4073867798,4.8580594063,-0.1530326754
13615,443,1073.63587747,1035.13173607,5.446999073,4.1375803947,0.4694972932
13689,3695,952.73468633,1090.84763696,16.684545517,14.8603610992,1.3494499922
13894,355,1026.0326722,1054.11172054,5.1086506844,3.587795496,-1.5146073103
13896,256,1036.30428046,1052.79259701,4.9199337959,3.689166069,-0.0694699436
14113,1242,1041.3533043632,1048.5339536521,8.9836730957,8.605597496,-1.5250841379
14157,3948,1077.81265643,1081.00850871,17.1568222046,12.1713037491,-1.4076036215
1415,3993,1074.79782903,1043.82315467,15.7549676895,10.514377594,1.347628355
14279,29008,1064.46960111,1143.74530168,48.7900123596,24.4775161743,-1.4081647396
14284,1610,1063.26156578,1055.5503468,11.9866676331,4.3375067711,-1.2766211033
14437,737,1072.7153455,1110.65857329,6.9538235664,5.0208091736,-0.4785338938
14871,647,1026.3462949,1069.63775902,7.7500720024,4.2291555405,1.3682150841
14984,2940,1037.73181492,1084.525599,15.0091915131,14.3689689636,-0.3499068916
15171,91,894.111721058,1093.0572011,2.3849127293,2.3645522595,-1.3933752775
15222,5730,1045.3992151,1141.60401638,26.7966346741,10.8241691589,-1.4445604086
15229,233,1027.98974279,1054.94982059,4.2452917099,3.3600430489,-0.2216184735
15345,770,1063.01032599,1032.89619097,8.2633934021,4.3695616722,0.0808489621
15461,2458,1105.20764261,1004.59930142,14.670135498,11.1974773407,-1.1432979107
15587,4481,1068.37936017,984.051801257,24.260175705,14.0292034149,-0.6414277554
15850,1643,1142.20758602,928.238325075,9.4330825806,7.2208971977,-0.5168678761
17208,73,1067.4106217977,1111.3658635138,2.7495241165,1.9912228584,1.3135325909
17371,554,1120.99111376,1076.97346056,7.717772007,4.5151705742,-0.3649893403
17745,2313,1046.72463678,1054.45274921,17.1231918335,8.7156934738,-0.9654040337
17884,1225,1026.34483938,1059.35748221,9.6317615509,7.866496563,-0.1362373084
17886,34832,980.939386254,977.121778766,42.8887252808,21.9684066772,-1.3806132078
18030,2576,1027.58276439,1027.46089406,13.3934373856,10.8696727753,-0.3586803973
18241,1802,1069.64958176,1054.95810643,14.1150493622,8.2070455551,1.0183423758
18323,637,994.756619794,1062.589036,9.6548337936,3.8120296001,-0.3508081138
18415,5107,1094.976349184,1066.2363470693,21.5274848938,8.8820743561,1.472884655
18602,532,1075.9723272,1027.20693733,9.712562561,3.6246216297,0.7767031789
18835,4110,1058.15699379,1129.27507857,14.8438510895,12.1561546326,-0.4862847924
19023,2189,1318.27040885,1005.07674251,15.3813390732,10.1979589462,0.8480846882
19048,3955,1046.59879091,1134.71391879,15.9329662323,11.7440500259,-0.9650675058
19174,3405,1023.84698203,1059.35266357,19.03931427,6.0376992226,-1.0023726225
19282,202,935.951400311,936.510553359,4.478079319,3.1021020412,-0.3749220371
19323,6127,951.664588443,1062.88642332,26.1841163635,13.3777570724,-0.2925245166
19616,5305,1119.06930895,1167.56006584,16.3390846252,13.6615486145,0.7125124335
20350,7041,915.787200216,1127.65887397,18.8549118042,13.4490852356,1.3409392834
20874,1276,1072.39889068,1102.11900815,10.0382671356,9.0813159943,-0.2275499254
2102,890,1037.06245095,1087.17173237,9.5266103745,4.9335632324,0.5151470304
2440,2679,1060.25782144,1044.30062371,16.644493103,8.3970680237,0.5121900439
2561,9156,1170.27834094,1183.26702544,52.4779014587,10.266456604,0.6904885769
2635,2761,1027.27567184,1048.08236589,13.5523118973,12.6683855057,0.9043114185
2992,2882,1086.87148689,1082.59286273,15.4970979691,11.9626340866,-0.6511710286
3488,459,1067.02701992,1039.78012615,5.2230429649,4.2727599144,1.310357213
4019,8831,960.860650853,1025.85015382,22.0849628448,21.2714157104,-0.4740486741
5103,731,1041.36195623,1072.65226884,9.7693195343,5.0988388062,-1.240657568
5550,1825,1023.63822891,1043.8469202,17.0666275024,8.1788110733,0.1861928701
6057,10753,1058.32822167,1090.09733364,30.1921691895,22.6785449982,-1.1015902758
6491,17072,1017.50426224,966.548502299,31.902671814,10.3646802902,0.2707632184
6614,4722,1003.70497849,1029.7006538,15.2010583878,14.5598630905,0.8263007402
8297,488,574.623746131,1093.07909553,5.952299118,4.7341256142,-1.4742685556
