# data from sep with a SB cutoff of 26 mag/sqr-arcsec,,,,,,
# note that a, b need to be scaled by 3 to get the correct elliptical radii (silly Source Extractor!),,,,,
# SN, npix, x, y, a, b, theta
12781, 841, 133.046783009, 124.536349875, 5.83147764206, 5.02883338928, 0.318350434303
12860, 254, 129.34216337, 145.047380241, 5.47448158264, 2.20332241058, -0.891506075859
12874, 278, 119.056672974, 138.147544542, 4.92388248444, 3.39016294479, -1.14320099354
12928, 432, 123.794768003, 139.150293172, 5.72958660126, 3.25698256493, 0.453981548548
12930, 562, 137.171009138, 145.455204627, 6.18020582199, 4.86540174484, 1.14208817482
13038, 9, 140.954833695, 97.0470615466, 0.723708689213, 0.718056321144, 1.40023875237
13135, 543, 136.556425081, 118.46190639, 6.48938894272, 2.6279528141, 1.316583395
13354, 204, 121.885156149, 130.005169657, 4.09831762314, 2.4875395298, -0.329194515944
13411, 21, 125.725330324, 133.103205413, 1.91040289402, 0.702002882957, -0.205159708858
13506, 43, 133.545346162, 131.202169675, 1.98678827286, 1.02054274082, -0.0788812115788
13615, 22, 133.743806758, 128.895765521, 1.16843867302, 0.894745826721, 0.465632468462
13689, 120, 118.835380853, 136.314982505, 2.64687395096, 2.27520513535, 1.1189469099
13894, 20, 127.858286419, 131.268226775, 1.2331584692, 0.799982070923, -1.48672008514
13896, 11, 129.062458134, 131.041579044, 0.953973412514, 0.724671065807, -0.0252696089447
14113, 40, 129.803486438, 130.631372179, 1.47916638851, 1.40552794933, -0.0724442228675
14157, 207, 134.163181584, 134.799097409, 3.18947577477, 2.8634057045, -0.496969968081
1415, 344, 134.065261915, 130.163888028, 4.49088668823, 2.96351718903, 1.29559791088
14279, 1056, 132.60639816, 142.191033151, 7.66215658188, 4.33285903931, -1.40481638908
14284, 57, 132.451511601, 131.534329607, 1.86708712578, 0.908120572567, -1.27805316448
14437, 33, 133.671995494, 138.382135868, 1.35746002197, 1.02861988544, -0.501918792725
14871, 25, 127.824015941, 133.262815802, 1.38625085354, 0.826635599136, 1.42613935471
14984, 210, 129.240876979, 134.494113723, 3.8075594902, 3.04823279381, -1.46720337868
15171, 25, 132.396079138, 136.162527393, 1.56756949425, 1.15501189232, 0.443836122751
15222, 275, 130.309950494, 142.401191469, 4.64862108231, 2.43015646935, -1.43360555172
15229, 16, 128.017980668, 131.433734904, 0.998831808567, 0.868149399757, -0.149399518967
15345, 49, 130.997810265, 129.29150621, 2.04252934456, 0.994093596935, -0.23052456975
15461, 141, 137.763134172, 124.942188648, 3.12174081802, 2.49532437325, -0.56018871069
15587, 181, 133.219319684, 122.899947169, 3.57493257523, 2.72913646698, -0.902314186096
15850, 117, 142.601807898, 115.622172022, 2.50769209862, 1.83912289143, -0.0582197494805
17208, 11, 132.952942069, 138.603028747, 0.973260462284, 0.734148442745, 1.30339813232
17371, 53, 139.12217891, 133.935832472, 2.48445463181, 1.27419650555, -0.110334046185
17745, 151, 130.465291906, 131.606980412, 3.43447875977, 2.40303015709, -0.597851932049
17884, 61, 127.960342785, 132.071992342, 1.90814960003, 1.69946527481, -0.0436315126717
17886, 4798, 122.332802073, 121.604614, 14.0013799667, 9.11091804504, -1.44333159924
18030, 84, 127.775368552, 128.062347481, 2.26872968674, 1.71552121639, -0.351644456387
18241, 65, 133.309724233, 131.304764787, 2.18321990967, 1.5023150444, 1.12769317627
18323, 32, 124.098912027, 132.434990154, 1.88799655437, 0.89645922184, -0.309121459723
18415, 201, 136.410410348, 132.627272632, 3.6052749157, 1.72747480869, 1.46189498901
18602, 29, 134.061591493, 127.975165266, 1.99918496609, 0.832466244698, 0.771044075489
18835, 299, 132.023335579, 140.928323584, 3.99872088432, 3.04883265495, -0.790390133858
19023, 81, 164.398399123, 125.50716515, 2.61684536934, 1.74095976353, 0.914340138435
19048, 132, 130.35736097, 141.399644914, 2.34778547287, 2.11166381836, -1.15257656574
19174, 150, 127.416594383, 132.138592689, 3.58376598358, 1.23932921886, -0.988885939121
19282, 11, 116.605010751, 116.677308437, 0.868959307671, 0.768064856529, -0.468040585518
19323, 718, 118.988472373, 132.473266605, 6.54808759689, 5.50751113892, 1.13494288921
19616, 338, 139.627287744, 144.969714788, 4.37598609924, 2.87200117111, -1.50646221638
20350, 495, 113.929930522, 140.377722244, 4.61807775497, 3.3762216568, 1.39664888382
20874, 60, 133.622987048, 137.3181863, 1.95131719112, 1.69485461712, -0.871589183807
2102, 40, 129.143873939, 135.419236411, 1.79259097576, 0.994884431362, 0.466215223074
2440, 87, 132.107300739, 130.15357685, 2.4212064743, 1.45924258232, 0.53031629324
2561, 360, 145.744292603, 147.278887528, 7.99618196487, 2.15487265587, 0.684824883938
2635, 171, 127.835779764, 130.816692179, 3.42277431488, 2.46962404251, -1.55621016026
2992, 173, 135.216483123, 134.854438656, 3.50582790375, 2.54291820526, -0.82116907835
3488, 24, 132.939734057, 129.591289945, 1.12108421326, 0.946553468704, 1.26791679859
4019, 343, 119.674246859, 127.889493401, 4.04968357086, 3.60467576981, -1.08643555641
5103, 30, 129.692579012, 133.527206144, 1.48301255703, 1.14825105667, -1.20464396477
5550, 78, 127.672126531, 130.531417127, 2.50904107094, 1.83425617218, 0.509117245674
6057, 657, 131.37764602, 136.368758592, 6.02702331543, 5.24949645996, -0.561462879181
6491, 1269, 125.529879395, 119.806802635, 6.59279632568, 3.42527103424, 0.346530884504
6614, 189, 125.064572652, 128.317898533, 2.59796953201, 2.42555832863, 0.775871098042
8297, 47, 71.7022134034, 136.701749245, 2.03029060364, 1.35867989063, 1.56066083908
