# data from sep with a SB cutoff of who knows,,,,,,
# note that a,b need to be scaled by 3 to get the correct elliptical radii (silly Source Extractor!),missing SN- 12928 15171 19023,,,,
# SN, npix, x, y, a, b, theta
12781,1706,417.535631742,1284.43308501,7.8275690079,6.5914497376,0.7842161655
12860,623,1220.38511449,434.512557251,6.8886470795,3.6288266182,-0.8767243624
12874,741,371.628829223,679.042594596,6.5927348137,5.3826808929,-1.5214959383
12930,883,1459.80796997,984.502893461,7.0709109306,5.7797236443,-0.095777154
13038,7,843.43102044,692.74179465,1.0057961941,0.4768276215,1.41923666
13135,1321,1925.66705945,958.527076493,8.8016805649,4.0600152016,1.4370408058
13411,69,1813.06811547,690.300432234,2.9841845036,1.3491526842,-1.193606019
13506,105,1075.9360795,596.776002332,2.4501178265,1.8555573225,-0.6892877817
13615,54,1323.30006838,376.672964133,1.9930772781,1.5048428774,1.1374465227
13689,245,1696.88910883,873.850852093,3.2407066822,2.9945683479,0.6346953511
13894,80,1642.90771815,155.103774928,2.2478172779,1.6705162525,1.1649821997
13896,45,1341.48778728,1283.35680089,1.6121639013,1.5251367092,0.757616818
14113,124,257.763286748,1114.40946756,2.5147776604,2.2462992668,0.2717700601
14157,416,1738.57573948,537.685362204,4.1274652481,3.9866943359,-0.5063447952
1415,728,1700.65781536,829.754639684,6.5783219338,4.2539768219,0.8096294403
14279,1860,1539.73056906,429.003755576,8.5474758148,5.1659903526,1.4470049143
14284,169,327.50727902,613.133385973,2.5005927086,1.8982083798,-1.5585904121
14437,67,636.170685104,454.336910677,1.7928158045,1.7431019545,-0.0791823044
14871,82,154.242008088,501.602433039,2.1135811806,1.618650794,0.987203896
14984,398,1127.80839806,610.282612826,4.6491541863,4.1935462952,-1.3583471775
15222,810,730.529258263,1189.02992426,7.6551671028,4.0298089981,1.29165411
15229,44,449.682977158,132.448751266,1.6109923124,1.4686279297,-1.4125360251
15345,128,1717.91330083,743.03563505,2.4898638725,1.7457047701,-1.5517765284
15461,352,1293.27635484,518.885544101,4.232129097,3.9166386128,1.4158974886
15587,343,1517.79644341,422.582502998,4.2360239029,3.4191670418,-1.4047570229
15850,207,913.110132376,402.483076665,3.2650473118,2.7588076592,-0.431535244
17208,32,563.531798865,1068.79194392,1.4827011824,1.46994555,0.7934829593
17371,156,318.954533693,902.393577903,3.7854750156,2.082444191,-1.2264866829
17745,344,799.024009334,810.375665318,4.3136811256,3.4380631447,-0.7877410054
17884,163,1192.7318145,235.685863928,2.9669640064,2.5195786953,-1.053071022
17886,11212,577.875926674,765.950204808,19.8502483368,11.6979026794,1.2438747883
18030,199,247.555373925,1052.05297526,2.8978228569,2.5801072121,-0.4693219364
18241,181,771.441007114,1075.25633134,3.064306736,2.5149316788,1.0837353468
18323,93,279.080712201,984.434407675,2.5533838272,1.6720809937,-0.7567044497
18415,553,157.133092288,517.865386677,4.9945635796,3.5822708607,1.097391367
18602,69,1792.91488061,600.293362062,2.5613839626,1.4645940065,0.5037139058
18835,541,1394.98020531,567.803328488,4.9228868485,3.8466286659,-1.3440824747
19048,231,1672.1386207,741.665480111,2.9365291596,2.6909742355,-1.4266747236
19174,387,1808.71490879,296.272654432,4.8428611755,2.4047272205,-1.2239120007
19282,34,1209.99230297,856.537143042,1.5525964499,1.3342809677,0.5294130445
19323,1652,255.401906193,1017.03604529,9.170715332,7.2920618057,0.8438386321
19616,706,1759.92394269,859.542525728,5.6097097397,3.9752407074,-0.4457336068
20350,721,923.640377403,786.757287962,2.5608727932,2.299538374,0.5227673054
20874,152,874.835424515,786.9585968,2.8806240559,2.4480638504,-1.2829159498
2102,93,1811.80983784,922.598970959,2.3745796681,1.8328162432,0.6774525642
2440,249,1688.99029827,813.829747724,3.2418813705,2.5009431839,0.224962756
2561,691,257.567143548,519.633319069,9.3131189346,3.0425972939,0.5836178064
2635,296,261.051613055,1172.79227477,4.0428147316,3.2413527966,1.56057477
2992,480,580.691371526,707.561922847,5.1748695374,3.9485003948,-1.0126473904
3488,59,419.929908426,802.929991638,1.9107525349,1.5950737,0.5637521148
4019,596,956.438531499,340.461068127,4.8411173821,4.4266886711,-1.3379514217
5103,111,1048.29691922,66.4323991936,2.4131367207,2.1316149235,0.8511896729
5550,209,1191.60611085,1166.1679979,3.1550495625,2.6876387596,-0.2908706665
6057,1187,746.451360599,1166.75900241,7.1419129372,6.2939925194,-0.7278800011
6491,3031,1178.76263455,1393.24693801,6.867579937,5.166115284,0.0298509765
6614,551,325.366844364,1105.98704164,3.9737460613,3.8535587788,0.1006502062
8297,23,635.45956983,872.345716745,1.2473151684,1.0908453465,-0.1728673875
13354,366,1544.95539787,1281.59461805,4.96824646,3.1223523617,-0.86838907
